"Window_Scheme","Window_Type","Window_Size","Comparison_Group","Model_Name","Class","Formula","Avg_AUC_All_Tests","Median_AUC_All_Tests","Min_AUC_All_Tests","SD_AUC_All_Tests","Avg_Delta_vs_HA_dN_Only","Avg_Delta_vs_Control1_All_dN","Avg_Delta_vs_Control2_All_dN_All_dS","Avg_Selection_Score","N_Test_Periods","Test_Periods","N_Fixed_Terms"
"rolling_width_6","rolling",6,"1_Selected_representative_dN_subset","Representative_dN_HA_NA","representative_dN_candidate","dom_binary ~ HA + NA_seg + (1 | vaccine_code)",0.79765076970399,0.822222222222222,0.54,0.130482644549672,0.0467575653738048,0.0898498978248649,0.163510738179754,0.78765076970399,8,"Vic11,Swtz13,HK15,Kan17,HK19,Cam20,Dar21,TH22",2
"rolling_width_6","rolling",6,"2_HA_dN_only","HA_dN_Only","ha_dN_only","dom_binary ~ HA + (1 | vaccine_code)",0.750893204330185,0.748519736842105,0.464052287581699,0.162362667078353,0,0.0430923324510602,0.116753172805949,0.745893204330185,8,"Vic11,Swtz13,HK15,Kan17,HK19,Cam20,Dar21,TH22",1
"rolling_width_6","rolling",6,"3_Control1_all_dN","Control1_All_dN_PB2_to_NS","control1_all_dN","dom_binary ~ PB2 + PB1 + PA + HA + NP + NA_seg + M + NS + (1 | vaccine_code)",0.707800871879125,0.673879142300195,0.5375,0.142720744679502,-0.0430923324510602,0,0.0736608403548889,0.667800871879125,8,"Vic11,Swtz13,HK15,Kan17,HK19,Cam20,Dar21,TH22",8
"rolling_width_6","rolling",6,"4_Control2_all_dN_all_dS","Control2_All_dN_All_dS_PB2_to_NS","control2_all_dN_all_dS","dom_binary ~ PB2 + PB1 + PA + HA + NP + NA_seg + M + NS + PB2_syn + PB1_syn + PA_syn + HA_syn + NP_syn + NA_syn + M_syn + NS_syn + (1 | vaccine_code)",0.634140031524236,0.575131578947368,0.437908496732026,0.200788370807006,-0.116753172805949,-0.0736608403548889,0,0.554140031524236,8,"Vic11,Swtz13,HK15,Kan17,HK19,Cam20,Dar21,TH22",16
"rolling_width_7","rolling",7,"1_Selected_representative_dN_subset","Representative_dN_HA_PB2_NA","representative_dN_candidate","dom_binary ~ HA + PB2 + NA_seg + (1 | vaccine_code)",0.809929753298974,0.874074074074074,0.54,0.146764366396991,0.053496710859914,0.0745671920124907,0.210239065663719,0.794929753298974,7,"Swtz13,HK15,Kan17,HK19,Cam20,Dar21,TH22",3
"rolling_width_7","rolling",7,"2_HA_dN_only","HA_dN_Only","ha_dN_only","dom_binary ~ HA + (1 | vaccine_code)",0.75643304243906,0.78125,0.464052287581699,0.174553153544658,0,0.0210704811525767,0.156742354803805,0.75143304243906,7,"Swtz13,HK15,Kan17,HK19,Cam20,Dar21,TH22",1
"rolling_width_7","rolling",7,"3_Control1_all_dN","Control1_All_dN_PB2_to_NS","control1_all_dN","dom_binary ~ PB2 + PB1 + PA + HA + NP + NA_seg + M + NS + (1 | vaccine_code)",0.735362561286484,0.705882352941176,0.5525,0.146809631054636,-0.0210704811525767,0,0.135671873651228,0.695362561286484,7,"Swtz13,HK15,Kan17,HK19,Cam20,Dar21,TH22",8
"rolling_width_7","rolling",7,"4_Control2_all_dN_all_dS","Control2_All_dN_All_dS_PB2_to_NS","control2_all_dN_all_dS","dom_binary ~ PB2 + PB1 + PA + HA + NP + NA_seg + M + NS + PB2_syn + PB1_syn + PA_syn + HA_syn + NP_syn + NA_syn + M_syn + NS_syn + (1 | vaccine_code)",0.599690687635256,0.5325,0.405243445692884,0.191135605152705,-0.156742354803805,-0.135671873651228,0,0.519690687635256,7,"Swtz13,HK15,Kan17,HK19,Cam20,Dar21,TH22",16
"rolling_width_8","rolling",8,"1_Selected_representative_dN_subset","Representative_dN_HA_PB2_M","representative_dN_candidate","dom_binary ~ HA + PB2 + M + (1 | vaccine_code)",0.820235936443004,0.888453159041394,0.6175,0.134000182382508,0.0679390535974339,0.0648656601633579,0.134164824284402,0.805235936443004,6,"HK15,Kan17,HK19,Cam20,Dar21,TH22",3
"rolling_width_8","rolling",8,"2_HA_dN_only","HA_dN_Only","ha_dN_only","dom_binary ~ HA + (1 | vaccine_code)",0.752296882845571,0.80233918128655,0.464052287581699,0.190837256422655,0,-0.00307339343407599,0.0662257706869681,0.74729688284557,6,"HK15,Kan17,HK19,Cam20,Dar21,TH22",1
"rolling_width_8","rolling",8,"3_Control1_all_dN","Control1_All_dN_PB2_to_NS","control1_all_dN","dom_binary ~ PB2 + PB1 + PA + HA + NP + NA_seg + M + NS + (1 | vaccine_code)",0.755370276279646,0.73442265795207,0.53,0.152386356489237,0.00307339343407599,0,0.0692991641210441,0.715370276279646,6,"HK15,Kan17,HK19,Cam20,Dar21,TH22",8
"rolling_width_8","rolling",8,"4_Control2_all_dN_all_dS","Control2_All_dN_All_dS_PB2_to_NS","control2_all_dN_all_dS","dom_binary ~ PB2 + PB1 + PA + HA + NP + NA_seg + M + NS + PB2_syn + PB1_syn + PA_syn + HA_syn + NP_syn + NA_syn + M_syn + NS_syn + (1 | vaccine_code)",0.686071112158602,0.701435185185185,0.431372549019608,0.191259896307668,-0.0662257706869681,-0.0692991641210441,0,0.606071112158602,6,"HK15,Kan17,HK19,Cam20,Dar21,TH22",16
"rolling_width_9","rolling",9,"1_Selected_representative_dN_subset","Representative_dN_HA_PB2_M","representative_dN_candidate","dom_binary ~ HA + PB2 + M + (1 | vaccine_code)",0.797165332374311,0.874074074074074,0.6125,0.134805508088348,0.0808510205251691,0.0758968008255934,0.149732656805412,0.782165332374311,5,"Kan17,HK19,Cam20,Dar21,TH22",3
"rolling_width_9","rolling",9,"2_HA_dN_only","HA_dN_Only","ha_dN_only","dom_binary ~ HA + (1 | vaccine_code)",0.716314311849142,0.715789473684211,0.464052287581699,0.189243183317947,0,-0.00495421969957574,0.0688816362802431,0.711314311849142,5,"Kan17,HK19,Cam20,Dar21,TH22",1
"rolling_width_9","rolling",9,"3_Control1_all_dN","Control1_All_dN_PB2_to_NS","control1_all_dN","dom_binary ~ PB2 + PB1 + PA + HA + NP + NA_seg + M + NS + (1 | vaccine_code)",0.721268531548717,0.705882352941176,0.5325,0.139191544930045,0.00495421969957574,0,0.0738358559798188,0.681268531548717,5,"Kan17,HK19,Cam20,Dar21,TH22",8
"rolling_width_9","rolling",9,"4_Control2_all_dN_all_dS","Control2_All_dN_All_dS_PB2_to_NS","control2_all_dN_all_dS","dom_binary ~ PB2 + PB1 + PA + HA + NP + NA_seg + M + NS + PB2_syn + PB1_syn + PA_syn + HA_syn + NP_syn + NA_syn + M_syn + NS_syn + (1 | vaccine_code)",0.647432675568898,0.568421052631579,0.42483660130719,0.205251520912124,-0.0688816362802431,-0.0738358559798188,0,0.567432675568899,5,"Kan17,HK19,Cam20,Dar21,TH22",16
"rolling_width_10","rolling",10,"1_Selected_representative_dN_subset","Representative_dN_HA_x_PB1_plus_PB2_NA","representative_dN_candidate","dom_binary ~ HA * PB1 + PB2 + NA_seg + (1 | vaccine_code)",0.828025722915429,0.858249158249158,0.6675,0.119416586967425,0.111580201525054,0.103157679738562,0.159229302832244,0.803025722915429,4,"HK19,Cam20,Dar21,TH22",5
"rolling_width_10","rolling",10,"2_HA_dN_only","HA_dN_Only","ha_dN_only","dom_binary ~ HA + (1 | vaccine_code)",0.716445521390374,0.746319444444444,0.464052287581699,0.218518943046414,0,-0.0084225217864924,0.0476491013071895,0.711445521390374,4,"HK19,Cam20,Dar21,TH22",1
"rolling_width_10","rolling",10,"3_Control1_all_dN","Control1_All_dN_PB2_to_NS","control1_all_dN","dom_binary ~ PB2 + PB1 + PA + HA + NP + NA_seg + M + NS + (1 | vaccine_code)",0.724868043176867,0.737690631808279,0.515,0.162879176973685,0.0084225217864924,0,0.0560716230936819,0.684868043176867,4,"HK19,Cam20,Dar21,TH22",8
"rolling_width_10","rolling",10,"4_Control2_all_dN_all_dS","Control2_All_dN_All_dS_PB2_to_NS","control2_all_dN_all_dS","dom_binary ~ PB2 + PB1 + PA + HA + NP + NA_seg + M + NS + PB2_syn + PB1_syn + PA_syn + HA_syn + NP_syn + NA_syn + M_syn + NS_syn + (1 | vaccine_code)",0.668796420083185,0.667361111111111,0.431372549019608,0.232436072710415,-0.0476491013071895,-0.0560716230936819,0,0.588796420083185,4,"HK19,Cam20,Dar21,TH22",16
