"Feature_Scheme","Model","Predictors","N_Predictors","N_Splits","Mean_Delta_Test_AUC_vs_Selected_Regression","Median_Delta_Test_AUC_vs_Selected_Regression","N_Test_AUC_Wins_vs_Selected_Regression","N_Test_AUC_Losses_vs_Selected_Regression","Wilcoxon_p_Test_AUC_vs_Selected_Regression"
"4_All_dN_All_dS_PB2_to_NS","Ridge","PB2,PB1,PA,HA,NP,NA_seg,M,NS,PB2_syn,PB1_syn,PA_syn,HA_syn,NP_syn,NA_syn,M_syn,NS_syn",16,4,-0.0288589324618736,-0.0296296296296294,2,2,0.583882420770365
"4_All_dN_All_dS_PB2_to_NS","DNN","PB2,PB1,PA,HA,NP,NA_seg,M,NS,PB2_syn,PB1_syn,PA_syn,HA_syn,NP_syn,NA_syn,M_syn,NS_syn",16,4,-0.0341087962962963,-0.0370370370370368,2,2,0.583882420770365
"1_Selected_dN_Final_HA_x_PB1_plus_PB2_NA","XGBoost","HA,PB1,PB2,NA_seg,HA_x_PB1",5,4,-0.039057734204793,-0.0449999999999999,2,2,0.583882420770365
"3_All_dN_PB2_to_NS","Ridge","PB2,PB1,PA,HA,NP,NA_seg,M,NS",8,4,-0.0448434095860566,-0.0407407407407405,2,2,0.583882420770365
"3_All_dN_PB2_to_NS","RandomForest","PB2,PB1,PA,HA,NP,NA_seg,M,NS",8,4,-0.0584836725094077,-0.0585795454545454,0,4,0.100348246462291
"1_Selected_dN_Final_HA_x_PB1_plus_PB2_NA","DNN","HA,PB1,PB2,NA_seg,HA_x_PB1",5,4,-0.0590985838779956,-0.0259259259259257,2,2,0.583882420770365
"4_All_dN_All_dS_PB2_to_NS","RandomForest","PB2,PB1,PA,HA,NP,NA_seg,M,NS,PB2_syn,PB1_syn,PA_syn,HA_syn,NP_syn,NA_syn,M_syn,NS_syn",16,4,-0.0637246236878589,-0.0555637254901962,0,4,0.100348246462291
"2_HA_dN_Only","SVM_Radial","HA",1,4,-0.065868179342444,-0.017060185185185,2,2,0.855132140584706
"1_Selected_dN_Final_HA_x_PB1_plus_PB2_NA","Ridge","HA,PB1,PB2,NA_seg,HA_x_PB1",5,4,-0.0677656466627054,-0.0404629629629628,2,2,0.583882420770365
"4_All_dN_All_dS_PB2_to_NS","Lasso","PB2,PB1,PA,HA,NP,NA_seg,M,NS,PB2_syn,PB1_syn,PA_syn,HA_syn,NP_syn,NA_syn,M_syn,NS_syn",16,4,-0.0801143790849673,-0.0549999999999999,2,2,0.583882420770365
"1_Selected_dN_Final_HA_x_PB1_plus_PB2_NA","Logistic","HA,PB1,PB2,NA_seg,HA_x_PB1",5,4,-0.0934463507625272,-0.0518518518518516,2,2,0.583882420770365
"1_Selected_dN_Final_HA_x_PB1_plus_PB2_NA","RandomForest","HA,PB1,PB2,NA_seg,HA_x_PB1",5,4,-0.0995492919389978,-0.0751633986928105,2,2,0.583882420770365
"1_Selected_dN_Final_HA_x_PB1_plus_PB2_NA","SVM_Radial","HA,PB1,PB2,NA_seg,HA_x_PB1",5,4,-0.111021241830065,-0.0324999999999999,2,2,0.583882420770365
"3_All_dN_PB2_to_NS","Logistic","PB2,PB1,PA,HA,NP,NA_seg,M,NS",8,4,-0.11141339869281,-0.128055555555555,1,3,0.201242620957724
"2_HA_dN_Only","DNN","HA",1,4,-0.111580201525054,-0.0318749999999999,2,2,0.855132140584706
"2_HA_dN_Only","Lasso","HA",1,4,-0.111580201525054,-0.0318749999999999,2,2,0.855132140584706
"2_HA_dN_Only","Logistic","HA",1,4,-0.111580201525054,-0.0318749999999999,2,2,0.855132140584706
"2_HA_dN_Only","Ridge","HA",1,4,-0.111580201525054,-0.0318749999999999,2,2,0.855132140584706
"3_All_dN_PB2_to_NS","SVM_Radial","PB2,PB1,PA,HA,NP,NA_seg,M,NS",8,4,-0.115420627847098,-0.102954545454545,0,4,0.100348246462291
"4_All_dN_All_dS_PB2_to_NS","Logistic","PB2,PB1,PA,HA,NP,NA_seg,M,NS,PB2_syn,PB1_syn,PA_syn,HA_syn,NP_syn,NA_syn,M_syn,NS_syn",16,4,-0.130717592592593,-0.0947685185185183,1,3,0.201242620957724
"4_All_dN_All_dS_PB2_to_NS","SVM_Radial","PB2,PB1,PA,HA,NP,NA_seg,M,NS,PB2_syn,PB1_syn,PA_syn,HA_syn,NP_syn,NA_syn,M_syn,NS_syn",16,4,-0.13782110318875,-0.148409090909091,1,3,0.201242620957724
"3_All_dN_PB2_to_NS","DNN","PB2,PB1,PA,HA,NP,NA_seg,M,NS",8,4,-0.140080337690632,-0.172753267973856,1,3,0.201242620957724
"4_All_dN_All_dS_PB2_to_NS","XGBoost","PB2,PB1,PA,HA,NP,NA_seg,M,NS,PB2_syn,PB1_syn,PA_syn,HA_syn,NP_syn,NA_syn,M_syn,NS_syn",16,4,-0.140837170726877,-0.154659090909091,1,3,0.201242620957724
"3_All_dN_PB2_to_NS","XGBoost","PB2,PB1,PA,HA,NP,NA_seg,M,NS",8,4,-0.159542793127352,-0.153310185185185,0,4,0.100348246462291
"2_HA_dN_Only","XGBoost","HA",1,4,-0.161894744008715,-0.170085784313726,1,3,0.201242620957724
"3_All_dN_PB2_to_NS","Lasso","PB2,PB1,PA,HA,NP,NA_seg,M,NS",8,4,-0.172433278867102,-0.0997685185185183,1,3,0.201242620957724
"1_Selected_dN_Final_HA_x_PB1_plus_PB2_NA","Lasso","HA,PB1,PB2,NA_seg,HA_x_PB1",5,4,-0.180688997821351,-0.129351851851852,1,3,0.201242620957724
"2_HA_dN_Only","RandomForest","HA",1,4,-0.272181248762131,-0.307731481481481,0,4,0.100348246462291
